"","year","perc_expl","perc_non_expl","X","Region","Country","Rate","Count","type"
"1",2010,0.14,0.86,1,"Africa","Burundi",3.5,304,"Assault"
"2",2010,0.14,0.86,2,"Africa","Kenya",33.49,14078,"Assault"
"3",2010,0.14,0.86,3,"Africa","Madagascar",16.31,3450,"Assault"
"4",2010,0.14,0.86,4,"Africa","Mauritius",19.07,238,"Assault"
"5",2010,0.14,0.86,5,"Africa","Mozambique",NA,NA,"Assault"
"6",2010,0.14,0.86,6,"Africa","Rwanda",19.96,2004,"Assault"
"7",2010,0.14,0.86,7,"Africa","Uganda",70.86,22979,"Assault"
"8",2010,0.14,0.86,8,"Africa","United Republic of Tanzania",NA,NA,"Assault"
"9",2010,0.14,0.86,9,"Africa","Zimbabwe",NA,NA,"Assault"
"10",2010,0.14,0.86,10,"Africa","Cameroon",24.17,4917,"Assault"
"11",2010,0.14,0.86,11,"Africa","Sao Tome and Principe",0,0,"Assault"
"12",2010,0.14,0.86,12,"Africa","Algeria",115.02,41381,"Assault"
"13",2010,0.14,0.86,13,"Africa","Egypt",0.19,156,"Assault"
"14",2010,0.14,0.86,14,"Africa","Morocco",NA,NA,"Assault"
"15",2010,0.14,0.86,15,"Africa","Botswana",878.56,17457,"Assault"
"16",2010,0.14,0.86,16,"Africa","Eswatini",NA,NA,"Assault"
"17",2010,0.14,0.86,17,"Africa","Lesotho",NA,NA,"Assault"
"18",2010,0.14,0.86,18,"Africa","South Africa",NA,NA,"Assault"
"19",2010,0.14,0.86,19,"Africa","Benin",NA,NA,"Assault"
"20",2010,0.14,0.86,20,"Africa","Cabo Verde",829.61,4090,"Assault"
"21",2010,0.14,0.86,21,"Africa","Cote d'Ivoire",NA,NA,"Assault"
"22",2010,0.14,0.86,22,"Africa","Guinea",NA,NA,"Assault"
"23",2010,0.14,0.86,23,"Africa","Guinea-Bissau",NA,NA,"Assault"
"24",2010,0.14,0.86,24,"Africa","Nigeria",11.41,18093,"Assault"
"25",2010,0.14,0.86,25,"Africa","Senegal",2.41,305,"Assault"
"26",2010,0.14,0.86,26,"Africa","Sierra Leone",NA,NA,"Assault"
"27",2010,0.14,0.86,27,"Americas","Bahamas",862.82,3063,"Assault"
"28",2010,0.14,0.86,28,"Americas","Barbados",535.82,1511,"Assault"
"29",2010,0.14,0.86,29,"Americas","Dominica",NA,NA,"Assault"
"30",2010,0.14,0.86,30,"Americas","Dominican Republic",NA,NA,"Assault"
"31",2010,0.14,0.86,31,"Americas","Grenada",1086.79,1152,"Assault"
"32",2010,0.14,0.86,32,"Americas","Jamaica",50.07,1407,"Assault"
"33",2010,0.14,0.86,33,"Americas","Puerto Rico",75.81,2714,"Assault"
"34",2010,0.14,0.86,34,"Americas","St. Kitts and Nevis",316.33,155,"Assault"
"35",2010,0.14,0.86,35,"Americas","St. Vincent and the Grenadines",1212.04,1309,"Assault"
"36",2010,0.14,0.86,36,"Americas","Trinidad and Tobago",46.39,616,"Assault"
"37",2010,0.14,0.86,37,"Americas","Belize",NA,NA,"Assault"
"38",2010,0.14,0.86,38,"Americas","Costa Rica",173.76,7953,"Assault"
"39",2010,0.14,0.86,39,"Americas","El Salvador",62.92,3891,"Assault"
"40",2010,0.14,0.86,40,"Americas","Guatemala",50.94,7452,"Assault"
"41",2010,0.14,0.86,41,"Americas","Honduras",NA,NA,"Assault"
"42",2010,0.14,0.86,42,"Americas","Mexico",202.19,230687,"Assault"
"43",2010,0.14,0.86,43,"Americas","Nicaragua",314.99,18345,"Assault"
"44",2010,0.14,0.86,44,"Americas","Panama",166.35,6060,"Assault"
"45",2010,0.14,0.86,45,"Americas","Bermuda",949.23,617,"Assault"
"46",2010,0.14,0.86,46,"Americas","Canada",162.34,55436,"Assault"
"47",2010,0.14,0.86,47,"Americas","United States of America",253.01,781844,"Assault"
"48",2010,0.14,0.86,48,"Americas","Argentina",NA,NA,"Assault"
"49",2010,0.14,0.86,49,"Americas","Bolivia (Plurinational State of)",84.1,8451,"Assault"
"50",2010,0.14,0.86,50,"Americas","Brazil",365.69,715702,"Assault"
"51",2010,0.14,0.86,51,"Americas","Chile",130.45,22259,"Assault"
"52",2010,0.14,0.86,52,"Americas","Colombia",117.51,53140,"Assault"
"53",2010,0.14,0.86,53,"Americas","Ecuador",30.01,4505,"Assault"
"54",2010,0.14,0.86,54,"Americas","Guyana",1492.92,11182,"Assault"
"55",2010,0.14,0.86,55,"Americas","Paraguay",31.16,1947,"Assault"
"56",2010,0.14,0.86,56,"Americas","Peru",65.64,19053,"Assault"
"57",2010,0.14,0.86,57,"Americas","Suriname",NA,NA,"Assault"
"58",2010,0.14,0.86,58,"Americas","Uruguay",15.45,519,"Assault"
"59",2010,0.14,0.86,59,"Asia","Kazakhstan",9.79,1591,"Assault"
"60",2010,0.14,0.86,60,"Asia","Kyrgyzstan",9.89,536,"Assault"
"61",2010,0.14,0.86,61,"Asia","Tajikistan",72.94,5490,"Assault"
"62",2010,0.14,0.86,62,"Asia","Turkmenistan",NA,NA,"Assault"
"63",2010,0.14,0.86,63,"Asia","Uzbekistan",NA,NA,"Assault"
"64",2010,0.14,0.86,64,"Asia","Hong Kong Special Administrative Region of China",109.13,7602,"Assault"
"65",2010,0.14,0.86,65,"Asia","Japan",20.73,26647,"Assault"
"66",2010,0.14,0.86,66,"Asia","Macao Special Administrative Region of China",341.26,1836,"Assault"
"67",2010,0.14,0.86,67,"Asia","Mongolia",214.01,5821,"Assault"
"68",2010,0.14,0.86,68,"Asia","Republic of Korea",590.05,292347,"Assault"
"69",2010,0.14,0.86,69,"Asia","Brunei Darussalam",NA,NA,"Assault"
"70",2010,0.14,0.86,70,"Asia","Indonesia",13.22,31960,"Assault"
"71",2010,0.14,0.86,71,"Asia","Malaysia",NA,NA,"Assault"
"72",2010,0.14,0.86,72,"Asia","Myanmar",5.3,2681,"Assault"
