"","Region","Subregion","Country","Rate","Count","Year"
"1","Africa","Eastern Africa","Burundi","3.5","304","2010"
"2","Africa","Eastern Africa","Kenya","33.49","14078","2010"
"3","Africa","Eastern Africa","Madagascar","16.309999999999999","3450","2010"
"4","Africa","Eastern Africa","Mauritius","19.07","238","2010"
"5","Africa","Eastern Africa","Mozambique",NA,NA,"2010"
"6","Africa","Eastern Africa","Rwanda","19.96","2004","2010"
"7","Africa","Eastern Africa","Uganda","70.86","22979","2010"
"8","Africa","Eastern Africa","United Republic of Tanzania",NA,NA,"2010"
"9","Africa","Eastern Africa","Zimbabwe",NA,NA,"2010"
"10","Africa","Middle Africa","Cameroon","24.17","4917","2010"
"11","Africa","Middle Africa","Sao Tome and Principe","0","0","2010"
"12","Africa","Northern Africa","Algeria","115.02","41381","2010"
"13","Africa","Northern Africa","Egypt","0.19","156","2010"
"14","Africa","Northern Africa","Morocco",NA,NA,"2010"
"15","Africa","Southern Africa","Botswana","878.56","17457","2010"
"16","Africa","Southern Africa","Eswatini",NA,NA,"2010"
"17","Africa","Southern Africa","Lesotho",NA,NA,"2010"
"18","Africa","Southern Africa","South Africa",NA,NA,"2010"
"19","Africa","Western Africa","Benin",NA,NA,"2010"
"20","Africa","Western Africa","Cabo Verde","829.61","4090","2010"
"21","Africa","Western Africa","Cote d'Ivoire",NA,NA,"2010"
"22","Africa","Western Africa","Guinea",NA,NA,"2010"
"23","Africa","Western Africa","Guinea-Bissau",NA,NA,"2010"
"24","Africa","Western Africa","Nigeria","11.41","18093","2010"
"25","Africa","Western Africa","Senegal","2.41","305","2010"
"26","Africa","Western Africa","Sierra Leone",NA,NA,"2010"
"27","Americas","Caribbean","Bahamas","862.82","3063","2010"
"28","Americas","Caribbean","Barbados","535.82000000000005","1511","2010"
"29","Americas","Caribbean","Dominica",NA,NA,"2010"
"30","Americas","Caribbean","Dominican Republic",NA,NA,"2010"
"31","Americas","Caribbean","Grenada","1086.79","1152","2010"
"32","Americas","Caribbean","Jamaica","50.07","1407","2010"
"33","Americas","Caribbean","Puerto Rico","75.81","2714","2010"
