"","Region","Subregion","Country","Rate","Count","Year"
"1","Africa","Eastern Africa","Burundi","35.027999999999999","3039","2010"
"2","Africa","Eastern Africa","Kenya","6.7640000000000002","2843","2010"
"3","Africa","Eastern Africa","Madagascar","14.802","3131","2010"
"4","Africa","Eastern Africa","Mauritius","86.938999999999993","1085","2010"
"5","Africa","Eastern Africa","Rwanda","20.64","2072","2010"
"6","Africa","Eastern Africa","Uganda","18.579999999999998","6025","2010"
"7","Africa","Eastern Africa","United Republic of Tanzania","26.867999999999999","11915","2010"
"8","Africa","Middle Africa","Cameroon","80.718999999999994","16419","2010"
"9","Africa","Middle Africa","Sao Tome and Principe","0.55600000000000005","1","2010"
"10","Africa","Northern Africa","Algeria","51.393999999999998","18490","2010"
"11","Africa","Northern Africa","Egypt","0.83899999999999997","694","2010"
"12","Africa","Northern Africa","Morocco",NA,NA,"2010"
"13","Africa","Southern Africa","Botswana","120.93600000000001","2403","2010"
"14","Africa","Southern Africa","South Africa",NA,NA,"2010"
"15","Africa","Western Africa","Benin",NA,NA,"2010"
"16","Africa","Western Africa","Cabo Verde","623.529","3074","2010"
"17","Africa","Western Africa","Guinea-Bissau",NA,NA,"2010"
"18","Africa","Western Africa","Nigeria","1.413","2240","2010"
"19","Africa","Western Africa","Senegal","19.742999999999999","2503","2010"
"20","Americas","Caribbean","Bahamas","94.647999999999996","336","2010"
"21","Americas","Caribbean","Barbados","172.69499999999999","487","2010"
"22","Americas","Caribbean","Dominica",NA,NA,"2010"
"23","Americas","Caribbean","Dominican Republic",NA,NA,"2010"
"24","Americas","Caribbean","Grenada","24.527999999999999","26","2010"
"25","Americas","Caribbean","Jamaica","101.601","2855","2010"
"26","Americas","Caribbean","Puerto Rico","182.011","6516","2010"
"27","Americas","Caribbean","St. Kitts and Nevis","177.55099999999999","87","2010"
"28","Americas","Caribbean","St. Vincent and the Grenadines","108.333","117","2010"
"29","Americas","Caribbean","Trinidad and Tobago","385.76799999999997","5123","2010"
"30","Americas","Central America","Belize","148.137","477","2010"
"31","Americas","Central America","Costa Rica","943.52200000000005","43185","2010"
"32","Americas","Central America","El Salvador","87.613","5418","2010"
"33","Americas","Central America","Guatemala","22.119","3236","2010"
"34","Americas","Central America","Honduras",NA,NA,"2010"
"35","Americas","Central America","Mexico","646.96199999999999","738138","2010"
