"","Region","Subregion","Country","Rate","Count","Year"
"1","Africa","Eastern Africa","Burundi","8.0570000000000004","699","2010"
"2","Africa","Eastern Africa","Kenya","11.461","4817","2010"
"3","Africa","Eastern Africa","Madagascar","3.29","696","2010"
"4","Africa","Eastern Africa","Mauritius","34.615000000000002","432","2010"
"5","Africa","Eastern Africa","Mozambique",NA,NA,"2010"
"6","Africa","Eastern Africa","Rwanda",NA,NA,"2010"
"7","Africa","Eastern Africa","Uganda","26.658999999999999","8645","2010"
"8","Africa","Eastern Africa","United Republic of Tanzania","0.02","9","2010"
"9","Africa","Middle Africa","Cameroon","10.093","2053","2010"
"10","Africa","Middle Africa","Sao Tome and Principe","0","0","2010"
"11","Africa","Northern Africa","Algeria","10.548","3795","2010"
"12","Africa","Northern Africa","Egypt","0.20699999999999999","171","2010"
"13","Africa","Northern Africa","Morocco",NA,NA,"2010"
"14","Africa","Southern Africa","Botswana",NA,NA,"2010"
"15","Africa","Southern Africa","South Africa",NA,NA,"2010"
"16","Africa","Western Africa","Cabo Verde","41.176000000000002","203","2010"
"17","Africa","Western Africa","Cote d'Ivoire",NA,NA,"2010"
"18","Africa","Western Africa","Guinea",NA,NA,"2010"
"19","Africa","Western Africa","Nigeria","1.1020000000000001","1747","2010"
"20","Africa","Western Africa","Senegal",NA,NA,"2010"
"21","Africa","Western Africa","Sierra Leone",NA,NA,"2010"
"22","Americas","Caribbean","Bahamas","87.042000000000002","309","2010"
"23","Americas","Caribbean","Barbados","59.929000000000002","169","2010"
"24","Americas","Caribbean","Dominica",NA,NA,"2010"
"25","Americas","Caribbean","Dominican Republic",NA,NA,"2010"
"26","Americas","Caribbean","Grenada","104.717","111","2010"
"27","Americas","Caribbean","Jamaica","52.883000000000003","1486","2010"
"28","Americas","Caribbean","Puerto Rico",NA,NA,"2010"
"29","Americas","Caribbean","St. Kitts and Nevis","126.53100000000001","62","2010"
"30","Americas","Caribbean","St. Vincent and the Grenadines","155.55600000000001","168","2010"
"31","Americas","Caribbean","Trinidad and Tobago","57.756","767","2010"
"32","Americas","Central America","Belize","40.372999999999998","130","2010"
"33","Americas","Central America","Costa Rica","142.255","6511","2010"
"34","Americas","Central America","El Salvador","36.076999999999998","2231","2010"
"35","Americas","Central America","Guatemala","3.39","496","2010"
"36","Americas","Central America","Honduras",NA,NA,"2010"
"37","Americas","Central America","Mexico","29.899000000000001","34113","2010"
"38","Americas","Central America","Nicaragua","62.26","3626","2010"
"39","Americas","Central America","Panama","27.67","1008","2010"
"40","Americas","Northern America","Bermuda","141.53800000000001","92","2010"
"41","Americas","Northern America","Canada","78.763000000000005","26896","2010"
"42","Americas","South America","Argentina",NA,NA,"2010"
"43","Americas","South America","Bolivia (Plurinational State of)","39.247999999999998","3944","2010"
"44","Americas","South America","Brazil","23.771999999999998","46526","2010"
"45","Americas","South America","Chile","76.241","13009","2010"
"46","Americas","South America","Colombia","15.052","6807","2010"
"47","Americas","South America","Ecuador","24.321999999999999","3651","2010"
"48","Americas","South America","Guyana","19.626000000000001","147","2010"
"49","Americas","South America","Paraguay","54.337000000000003","3395","2010"
"50","Americas","South America","Peru","18.164999999999999","5273","2010"
"51","Americas","South America","Uruguay",NA,NA,"2010"
"52","Asia","Central Asia","Kazakhstan","2.1720000000000002","353","2010"
"53","Asia","Central Asia","Tajikistan","2.617","197","2010"
"54","Asia","Eastern Asia","Hong Kong Special Administrative Region of China","26.356999999999999","1836","2010"
"55","Asia","Eastern Asia","Japan","6.5049999999999999","8362","2010"
"56","Asia","Eastern Asia","Macao Special Administrative Region of China","8.3640000000000008","45","2010"
"57","Asia","Eastern Asia","Mongolia","13.308999999999999","362","2010"
"58","Asia","Eastern Asia","Republic of Korea","36.774000000000001","18220","2010"
"59","Asia","South-Eastern Asia","Indonesia",NA,NA,"2010"
"60","Asia","South-Eastern Asia","Myanmar","0.48599999999999999","246","2010"
"61","Asia","South-Eastern Asia","Philippines","2.3159999999999998","2176","2010"
"62","Asia","South-Eastern Asia","Singapore","30.774000000000001","1579","2010"
"63","Asia","South-Eastern Asia","Thailand","2.851","1916","2010"
"64","Asia","South-Eastern Asia","Timor-Leste",NA,NA,"2010"
"65","Asia","Southern Asia","Bhutan","10.35","71","2010"
"66","Asia","Southern Asia","India","5.8940000000000001","72746","2010"
"67","Asia","Southern Asia","Maldives","142.89599999999999","523","2010"
"68","Asia","Southern Asia","Pakistan","1.9330000000000001","3468","2010"
"69","Asia","Southern Asia","Sri Lanka","4.3529999999999998","882","2010"
"70","Asia","Western Asia","Armenia","2.85","82","2010"
"71","Asia","Western Asia","Azerbaijan","2.2589999999999999","204","2010"
"72","Asia","Western Asia","Bahrain",NA,NA,"2010"
"73","Asia","Western Asia","Cyprus","7.0979999999999999","79","2010"
"74","Asia","Western Asia","Georgia","4.0250000000000004","165","2010"
"75","Asia","Western Asia","Israel","67.465000000000003","4956","2010"
"76","Asia","Western Asia","Kuwait",NA,NA,"2010"
"77","Asia","Western Asia","Lebanon","4.24","210","2010"
"78","Asia","Western Asia","Oman",NA,NA,"2010"
"79","Asia","Western Asia","Saudi Arabia",NA,NA,"2010"
"80","Asia","Western Asia","State of Palestine","4.3639999999999999","177","2010"
"81","Asia","Western Asia","Syrian Arab Republic",NA,NA,"2010"
"82","Asia","Western Asia","Turkey","5.7880000000000003","4186","2010"
"83","Asia","Western Asia","United Arab Emirates",NA,NA,"2010"
"84","Asia","Western Asia","Yemen",NA,NA,"2010"
"85","Europe","Eastern Europe","Belarus","3.8849999999999998","366","2010"
"86","Europe","Eastern Europe","Bulgaria","9.3740000000000006","696","2010"
"87","Europe","Eastern Europe","Czech Republic","12.689","1337","2010"
"88","Europe","Eastern Europe","Hungary","13.015000000000001","1292","2010"
"89","Europe","Eastern Europe","Poland","8.0850000000000009","3099","2010"
"90","Europe","Eastern Europe","Republic of Moldova","13.632","557","2010"
"91","Europe","Eastern Europe","Romania","7.2590000000000003","1486","2010"
"92","Europe","Eastern Europe","Russian Federation","10.615","15231","2010"
"93","Europe","Eastern Europe","Slovakia","10.4","562","2010"
"94","Europe","Eastern Europe","Ukraine","2.944","1348","2010"
"95","Europe","Northern Europe","Denmark","36.183999999999997","2010","2010"
"96","Europe","Northern Europe","Estonia","20.646000000000001","275","2010"
"97","Europe","Northern Europe","Finland","45.042999999999999","2417","2010"
"98","Europe","Northern Europe","Iceland","67.813000000000002","217","2010"
"99","Europe","Northern Europe","Ireland","51.954000000000001","2366","2010"
"100","Europe","Northern Europe","Latvia","10.901","231","2010"
"101","Europe","Northern Europe","Lithuania","16.452999999999999","514","2010"
"102","Europe","Northern Europe","Norway","50.101999999999997","2448","2010"
"103","Europe","Northern Europe","Sweden","150.42599999999999","14125","2010"
"104","Europe","Southern Europe","Albania","2.68","79","2010"
"105","Europe","Southern Europe","Andorra","11.904999999999999","10","2010"
"106","Europe","Southern Europe","Bosnia and Herzegovina","3.968","147","2010"
"107","Europe","Southern Europe","Croatia","9.173","397","2010"
"108","Europe","Southern Europe","Greece","4.6929999999999996","511","2010"
"109","Europe","Southern Europe","Holy See","0","0","2010"
"110","Europe","Southern Europe","Italy","8.1129999999999995","4813","2010"
"111","Europe","Southern Europe","Malta","21.981000000000002","91","2010"
"112","Europe","Southern Europe","Montenegro","5.7690000000000001","36","2010"
"113","Europe","Southern Europe","North Macedonia","5.9870000000000001","124","2010"
"114","Europe","Southern Europe","Portugal","20.196000000000002","2140","2010"
"115","Europe","Southern Europe","Serbia","5.4829999999999997","493","2010"
"116","Europe","Southern Europe","Slovenia","18.355","375","2010"
"117","Europe","Southern Europe","Spain","21.218","9958","2010"
"118","Europe","Western Europe","Austria","39.238999999999997","3300","2010"
"119","Europe","Western Europe","Belgium","64.840999999999994","7093","2010"
"120","Europe","Western Europe","France","36.518999999999998","22963","2010"
"121","Europe","Western Europe","Germany","45.24","36566","2010"
"122","Europe","Western Europe","Liechtenstein","16.667000000000002","6","2010"
"123","Europe","Western Europe","Luxembourg","41.534999999999997","211","2010"
"124","Europe","Western Europe","Monaco",NA,NA,"2010"
"125","Europe","Western Europe","Netherlands","57.603999999999999","9610","2010"
"126","Europe","Western Europe","Switzerland","31.911999999999999","2492","2010"
"127","Oceania","Australia and New Zealand","Australia","85.137","18862","2010"
"128","Oceania","Australia and New Zealand","New Zealand","66.659000000000006","2913","2010"
"129","Oceania","Melanesia","Solomon Islands",NA,NA,"2010"
"130","Africa","Eastern Africa","Burundi","7.4119999999999999","664","2011"
"131","Africa","Eastern Africa","Kenya","10.891999999999999","4703","2011"
"132","Africa","Eastern Africa","Madagascar","3.27","711","2011"
"133","Africa","Eastern Africa","Mauritius","37.25","466","2011"
"134","Africa","Eastern Africa","Mozambique",NA,NA,"2011"
"135","Africa","Eastern Africa","Rwanda",NA,NA,"2011"
"136","Africa","Eastern Africa","Uganda","25.788","8633","2011"
"137","Africa","Eastern Africa","United Republic of Tanzania","0","0","2011"
"138","Africa","Middle Africa","Cameroon","11.398999999999999","2383","2011"
"139","Africa","Middle Africa","Sao Tome and Principe","0","0","2011"
"140","Africa","Northern Africa","Algeria","10.603","3887","2011"
"141","Africa","Northern Africa","Egypt","0.13500000000000001","114","2011"
"142","Africa","Northern Africa","Morocco",NA,NA,"2011"
"143","Africa","Southern Africa","Botswana",NA,NA,"2011"
"144","Africa","Southern Africa","South Africa",NA,NA,"2011"
"145","Africa","Western Africa","Cabo Verde","42.685000000000002","213","2011"
"146","Africa","Western Africa","Cote d'Ivoire",NA,NA,"2011"
"147","Africa","Western Africa","Guinea",NA,NA,"2011"
"148","Africa","Western Africa","Nigeria",NA,NA,"2011"
"149","Africa","Western Africa","Senegal",NA,NA,"2011"
"150","Africa","Western Africa","Sierra Leone",NA,NA,"2011"
"151","Americas","Caribbean","Bahamas","66.111000000000004","238","2011"
"152","Americas","Caribbean","Barbados","65.018000000000001","184","2011"
"153","Americas","Caribbean","Dominica",NA,NA,"2011"
"154","Americas","Caribbean","Dominican Republic",NA,NA,"2011"
"155","Americas","Caribbean","Grenada","117.75700000000001","126","2011"
"156","Americas","Caribbean","Jamaica","71.09","2009","2011"
"157","Americas","Caribbean","Puerto Rico",NA,NA,"2011"
"158","Americas","Caribbean","St. Kitts and Nevis","130.61199999999999","64","2011"
"159","Americas","Caribbean","St. Vincent and the Grenadines","425","459","2011"
"160","Americas","Caribbean","Trinidad and Tobago","53.069000000000003","709","2011"
"161","Americas","Central America","Belize","36.667000000000002","121","2011"
"162","Americas","Central America","Costa Rica","140.363","6503","2011"
"163","Americas","Central America","El Salvador","44.115000000000002","2740","2011"
"164","Americas","Central America","Guatemala","3.806","569","2011"
"165","Americas","Central America","Honduras","42.212000000000003","3580","2011"
"166","Americas","Central America","Mexico","29.411000000000001","34027","2011"
"167","Americas","Central America","Nicaragua",NA,NA,"2011"
"168","Americas","Central America","Panama","55.665999999999997","2063","2011"
"169","Americas","Northern America","Bermuda","98.462000000000003","64","2011"
"170","Americas","Northern America","Canada","77.123999999999995","26638","2011"
"171","Americas","South America","Argentina",NA,NA,"2011"
"172","Americas","South America","Bolivia (Plurinational State of)","34.631999999999998","3537","2011"
"173","Americas","South America","Brazil","22.928999999999998","45288","2011"
"174","Americas","South America","Chile","90.989000000000004","15681","2011"
"175","Americas","South America","Colombia","17.893999999999998","8171","2011"
"176","Americas","South America","Ecuador","23.727","3617","2011"
"177","Americas","South America","Guyana","39.494999999999997","297","2011"
"178","Americas","South America","Paraguay","55.698999999999998","3528","2011"
"179","Americas","South America","Peru","18.231000000000002","5335","2011"
"180","Americas","South America","Uruguay",NA,NA,"2011"
"181","Asia","Central Asia","Kazakhstan","2.2679999999999998","374","2011"
"182","Asia","Central Asia","Tajikistan","2.6110000000000002","201","2011"
"183","Asia","Eastern Asia","Hong Kong Special Administrative Region of China","25.774000000000001","1806","2011"
"184","Asia","Eastern Asia","Japan","6.3209999999999997","8122","2011"
"185","Asia","Eastern Asia","Macao Special Administrative Region of China","8.7110000000000003","48","2011"
"186","Asia","Eastern Asia","Mongolia","14.007","388","2011"
"187","Asia","Eastern Asia","Republic of Korea","39.15","19491","2011"
"188","Asia","South-Eastern Asia","Indonesia",NA,NA,"2011"
"189","Asia","South-Eastern Asia","Myanmar","0.55900000000000005","285","2011"
"190","Asia","South-Eastern Asia","Philippines","1.825","1744","2011"
"191","Asia","South-Eastern Asia","Singapore","29.369","1546","2011"
"192","Asia","South-Eastern Asia","Thailand","2.278","1538","2011"
"193","Asia","South-Eastern Asia","Timor-Leste",NA,NA,"2011"
"194","Asia","Southern Asia","Bhutan","9.3800000000000008","65","2011"
"195","Asia","Southern Asia","India","6.0579999999999998","75744","2011"
"196","Asia","Southern Asia","Maldives","168.947","642","2011"
"197","Asia","Southern Asia","Pakistan","1.929","3536","2011"
"198","Asia","Southern Asia","Sri Lanka","4.0540000000000003","827","2011"
